,Date,Code,Name,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Volume,Adjusted Price
0,2022-01-03,EGAD,Eaagads Ltd,10.0,15.0,13.5,13.8,13.5,13.5,0.0,4000.0,0.0
1,2022-01-03,KUKZ,Kakuzi Plc,355.0,427.0,385.0,385.0,385.0,385.0,0.0,0.0,0.0
2,2022-01-03,KAPC,Kapchorua Tea Kenya Plc,80.0,101.0,99.5,99.5,99.5,95.5,4.0,100.0,0.0
3,2022-01-03,LIMT,Limuru Tea Plc,260.0,360.0,320.0,320.0,320.0,320.0,0.0,0.0,0.0
4,2022-01-03,SASN,Sasini Plc,16.75,22.6,18.7,18.7,18.7,18.7,0.0,0.0,0.0
5,2022-01-03,WTK,Williamson Tea Kenya Plc,125.0,154.75,132.0,132.0,132.0,130.0,2.0,15000.0,0.0
6,2022-01-03,CGEN,Car and General (K) Ltd,10.0,70.0,33.95,33.95,33.95,33.95,0.0,0.0,16.98
7,2022-01-03,ABSA,ABSA Bank Kenya Plc,8.6,12.95,11.6,11.9,11.75,11.85,-0.1,57700.0,0.0
8,2022-01-03,BKG,BK Group Plc,24.3,40.0,29.0,29.0,29.0,29.0,0.0,0.0,0.0
9,2022-01-03,COOP,Co-operative Bank of Kenya Ltd,11.5,14.0,12.9,13.5,13.0,12.95,0.05,100000.0,0.0
10,2022-01-03,DTK,Diamond Trust Bank Kenya Ltd,54.0,69.0,59.0,59.75,59.5,59.5,0.0,1800.0,0.0
11,2022-01-03,EQTY,Equity Group Holdings Plc,39.0,55.0,51.0,54.5,52.75,52.75,0.0,4702000.0,0.0
12,2022-01-03,HFCK,HF Group Ltd,2.8,5.2,3.8,3.99,3.8,3.9,-0.1,10100.0,0.0
13,2022-01-03,IMH,I & M Holdings Plc,18.0,26.0,21.1,21.5,21.4,21.1,0.3,39400.0,0.0
14,2022-01-03,KCB,KCB Group Plc,37.0,50.75,45.25,46.0,45.55,45.45,0.1,174500.0,0.0
15,2022-01-03,NBK,National Bank of Kenya Ltd,4.12,4.12,4.12,4.12,4.12,4.12,0.0,0.0,0.0
16,2022-01-03,NCBA,NCBA Group Plc,23.0,29.0,25.2,26.0,25.45,25.2,0.25,47400.0,0.0
17,2022-01-03,SBIC,Stanbic Holdings Plc,78.0,106.0,87.0,87.0,87.0,87.25,-0.25,3700.0,0.0
18,2022-01-03,SCBK,Standard Chartered Bank Kenya Ltd,123.0,148.75,130.0,131.0,130.0,128.25,1.75,3300.0,0.0
19,2022-01-03,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,0.0,0.0,0.0
20,2022-01-04,EGAD,Eaagads Ltd,10.0,15.0,12.85,12.85,12.85,13.5,-0.65,600.0,0.0
21,2022-01-04,KUKZ,Kakuzi Plc,355.0,427.0,385.0,385.0,385.0,385.0,0.0,0.0,0.0
22,2022-01-04,KAPC,Kapchorua Tea Kenya Plc,80.0,101.0,90.0,90.0,90.0,99.5,-9.5,100.0,0.0
23,2022-01-04,LIMT,Limuru Tea Plc,260.0,360.0,320.0,320.0,320.0,320.0,0.0,0.0,0.0
24,2022-01-04,SASN,Sasini Plc,16.75,22.6,18.7,18.7,18.7,18.7,0.0,0.0,0.0
25,2022-01-04,WTK,Williamson Tea Kenya Plc,125.0,154.75,132.0,132.0,132.0,132.0,0.0,0.0,0.0
26,2022-01-04,CGEN,Car and General (K) Ltd,10.0,70.0,33.95,33.95,33.95,33.95,0.0,0.0,16.98
27,2022-01-04,ABSA,ABSA Bank Kenya Plc,8.6,12.95,11.7,11.85,11.8,11.75,0.05,86600.0,0.0
28,2022-01-04,BKG,BK Group Plc,24.3,40.0,27.0,27.0,27.0,29.0,-2.0,100.0,0.0
29,2022-01-04,COOP,Co-operative Bank of Kenya Ltd,11.5,14.0,12.9,13.45,12.95,13.0,-0.05,53000.0,0.0
30,2022-01-04,DTK,Diamond Trust Bank Kenya Ltd,54.0,69.0,59.75,59.75,59.75,59.5,0.25,23400.0,0.0
31,2022-01-04,EQTY,Equity Group Holdings Plc,39.0,55.0,53.0,53.5,53.25,52.75,0.5,2160700.0,0.0
32,2022-01-04,HFCK,HF Group Ltd,2.8,5.2,3.85,3.98,3.9,3.8,0.1,59300.0,0.0
33,2022-01-04,IMH,I & M Holdings Plc,18.0,26.0,21.35,21.5,21.45,21.4,0.05,34400.0,0.0
34,2022-01-04,KCB,KCB Group Plc,37.0,50.75,45.0,45.7,45.05,45.55,-0.5,1621900.0,0.0
35,2022-01-04,NBK,National Bank of Kenya Ltd,4.12,4.12,4.12,4.12,4.12,4.12,0.0,0.0,0.0
36,2022-01-04,NCBA,NCBA Group Plc,23.0,29.0,25.45,26.0,25.45,25.45,0.0,31100.0,0.0
37,2022-01-04,SBIC,Stanbic Holdings Plc,78.0,106.0,87.0,87.0,87.0,87.0,0.0,0.0,0.0
38,2022-01-04,SCBK,Standard Chartered Bank Kenya Ltd,123.0,148.75,130.0,132.0,130.25,130.0,0.25,75300.0,0.0
39,2022-01-04,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,0.0,0.0,0.0
40,2022-01-05,EGAD,Eaagads Ltd,10.0,15.0,12.85,12.85,12.85,12.85,0.0,0.0,0.0
41,2022-01-05,KUKZ,Kakuzi Plc,355.0,427.0,420.0,420.0,420.0,385.0,35.0,100.0,0.0
42,2022-01-05,KAPC,Kapchorua Tea Kenya Plc,80.0,101.0,90.0,90.0,90.0,90.0,0.0,0.0,0.0
43,2022-01-05,LIMT,Limuru Tea Plc,260.0,360.0,320.0,320.0,320.0,320.0,0.0,0.0,0.0
44,2022-01-05,SASN,Sasini Plc,16.75,22.6,18.7,20.0,19.95,18.7,1.25,2100.0,0.0
45,2022-01-05,WTK,Williamson Tea Kenya Plc,125.0,154.75,130.0,135.0,130.75,132.0,-1.25,1900.0,0.0
46,2022-01-05,CGEN,Car and General (K) Ltd,10.0,70.0,30.6,30.6,30.6,33.95,-3.35,200.0,15.3
47,2022-01-05,ABSA,ABSA Bank Kenya Plc,8.6,12.95,11.6,11.8,11.75,11.8,-0.05,72800.0,0.0
48,2022-01-05,BKG,BK Group Plc,24.3,40.0,29.2,29.6,29.5,27.0,2.5,9900.0,0.0
49,2022-01-05,COOP,Co-operative Bank of Kenya Ltd,11.5,14.0,12.9,13.45,13.0,12.95,0.05,84600.0,0.0
50,2022-01-05,DTK,Diamond Trust Bank Kenya Ltd,54.0,69.0,59.75,59.75,59.75,59.75,0.0,500.0,0.0
51,2022-01-05,EQTY,Equity Group Holdings Plc,39.0,55.0,53.0,53.25,53.0,53.25,-0.25,658900.0,0.0
52,2022-01-05,HFCK,HF Group Ltd,2.8,5.2,3.75,3.9,3.81,3.9,-0.09,99500.0,0.0
53,2022-01-05,IMH,I & M Holdings Plc,18.0,26.0,21.35,21.5,21.45,21.45,0.0,85100.0,0.0
54,2022-01-05,KCB,KCB Group Plc,37.0,50.75,45.3,46.0,45.5,45.05,0.45,610500.0,0.0
55,2022-01-05,NBK,National Bank of Kenya Ltd,4.12,4.12,4.12,4.12,4.12,4.12,0.0,0.0,0.0
56,2022-01-05,NCBA,NCBA Group Plc,23.0,29.0,25.5,26.0,25.55,25.45,0.1,18600.0,0.0
57,2022-01-05,SBIC,Stanbic Holdings Plc,78.0,106.0,87.0,87.0,87.0,87.0,0.0,2700.0,0.0
58,2022-01-05,SCBK,Standard Chartered Bank Kenya Ltd,123.0,148.75,129.5,130.0,130.0,130.25,-0.25,14500.0,0.0
59,2022-01-05,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,0.0,0.0,0.0
60,2022-01-06,EGAD,Eaagads Ltd,10.0,15.0,13.8,13.8,13.8,12.85,0.95,100.0,0.0
61,2022-01-06,KUKZ,Kakuzi Plc,355.0,427.0,420.0,420.0,420.0,420.0,0.0,0.0,0.0
62,2022-01-06,KAPC,Kapchorua Tea Kenya Plc,80.0,101.0,90.0,90.0,90.0,90.0,0.0,200.0,0.0
63,2022-01-06,LIMT,Limuru Tea Plc,260.0,360.0,320.0,320.0,320.0,320.0,0.0,0.0,0.0
64,2022-01-06,SASN,Sasini Plc,16.75,22.6,20.0,21.0,20.25,19.95,0.3,2600.0,0.0
65,2022-01-06,WTK,Williamson Tea Kenya Plc,125.0,154.75,130.75,130.75,130.75,130.75,0.0,0.0,0.0
66,2022-01-06,CGEN,Car and General (K) Ltd,10.0,70.0,33.65,34.0,33.7,30.6,3.1,800.0,16.85
67,2022-01-06,ABSA,ABSA Bank Kenya Plc,8.6,12.95,11.7,11.9,11.8,11.75,0.05,128900.0,0.0
68,2022-01-06,BKG,BK Group Plc,24.3,40.0,29.0,30.0,29.3,29.5,-0.2,7200.0,0.0
69,2022-01-06,COOP,Co-operative Bank of Kenya Ltd,11.5,14.0,12.85,13.45,13.0,13.0,0.0,88800.0,0.0
70,2022-01-06,DTK,Diamond Trust Bank Kenya Ltd,54.0,69.0,60.0,60.0,60.0,59.75,0.25,1200.0,0.0
71,2022-01-06,EQTY,Equity Group Holdings Plc,39.0,55.0,53.0,53.25,53.0,53.0,0.0,243200.0,0.0
72,2022-01-06,HFCK,HF Group Ltd,2.8,5.2,3.85,3.9,3.89,3.81,0.08,7100.0,0.0
73,2022-01-06,IMH,I & M Holdings Plc,18.0,26.0,21.35,21.5,21.45,21.45,0.0,20500.0,0.0
74,2022-01-06,KCB,KCB Group Plc,37.0,50.75,45.2,46.5,45.9,45.5,0.4,67300.0,0.0
75,2022-01-06,NBK,National Bank of Kenya Ltd,4.12,4.12,4.12,4.12,4.12,4.12,0.0,0.0,0.0
76,2022-01-06,NCBA,NCBA Group Plc,23.0,29.0,25.5,26.3,25.9,25.55,0.35,20700.0,0.0
77,2022-01-06,SBIC,Stanbic Holdings Plc,78.0,106.0,87.0,87.0,87.0,87.0,0.0,900.0,0.0
78,2022-01-06,SCBK,Standard Chartered Bank Kenya Ltd,123.0,148.75,130.0,133.0,130.75,130.0,0.75,9100.0,0.0
79,2022-01-06,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,0.0,0.0,0.0
80,2022-01-07,EGAD,Eaagads Ltd,10.0,15.0,13.8,13.8,13.8,13.8,0.0,0.0,0.0
81,2022-01-07,KUKZ,Kakuzi Plc,355.0,427.0,420.0,420.0,420.0,420.0,0.0,0.0,0.0
82,2022-01-07,KAPC,Kapchorua Tea Kenya Plc,80.0,101.0,92.0,92.0,92.0,90.0,2.0,200.0,0.0
83,2022-01-07,LIMT,Limuru Tea Plc,260.0,360.0,320.0,320.0,320.0,320.0,0.0,0.0,0.0
84,2022-01-07,SASN,Sasini Plc,16.75,22.6,21.0,21.85,21.25,20.25,1.0,1100.0,0.0
85,2022-01-07,WTK,Williamson Tea Kenya Plc,125.0,154.75,132.0,132.0,132.0,130.75,1.25,100.0,0.0
86,2022-01-07,CGEN,Car and General (K) Ltd,10.0,70.0,37.05,37.05,37.05,33.7,3.35,300.0,18.52
87,2022-01-07,ABSA,ABSA Bank Kenya Plc,8.6,12.95,11.6,11.95,11.8,11.8,0.0,202600.0,0.0
88,2022-01-07,BKG,BK Group Plc,24.3,40.0,28.0,31.0,29.05,29.3,-0.25,8000.0,0.0
89,2022-01-07,COOP,Co-operative Bank of Kenya Ltd,11.5,14.0,12.8,13.4,12.95,13.0,-0.05,169800.0,0.0
90,2022-01-07,DTK,Diamond Trust Bank Kenya Ltd,54.0,69.0,59.75,62.0,60.0,60.0,0.0,14000.0,0.0
91,2022-01-07,EQTY,Equity Group Holdings Plc,39.0,55.0,53.0,53.25,53.0,53.0,0.0,686300.0,0.0
92,2022-01-07,HFCK,HF Group Ltd,2.8,5.2,3.75,3.9,3.81,3.89,-0.08,20500.0,0.0
93,2022-01-07,IMH,I & M Holdings Plc,18.0,26.0,21.35,21.45,21.4,21.45,-0.05,4100.0,0.0
94,2022-01-07,KCB,KCB Group Plc,37.0,50.75,45.6,46.5,46.0,45.9,0.1,80500.0,0.0
95,2022-01-07,NBK,National Bank of Kenya Ltd,4.12,4.12,4.12,4.12,4.12,4.12,0.0,0.0,0.0
96,2022-01-07,NCBA,NCBA Group Plc,23.0,29.0,25.9,26.1,25.95,25.9,0.05,24100.0,0.0
97,2022-01-07,SBIC,Stanbic Holdings Plc,78.0,106.0,87.0,87.0,87.0,87.0,0.0,0.0,0.0
98,2022-01-07,SCBK,Standard Chartered Bank Kenya Ltd,123.0,148.75,130.0,131.0,130.5,130.75,-0.25,43700.0,0.0
99,2022-01-07,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,0.0,0.0,0.0
100,2022-01-10,EGAD,Eaagads Ltd,10.0,15.0,13.8,13.8,13.8,13.8,0.0,0.0,0.0
101,2022-01-10,KUKZ,Kakuzi Plc,355.0,427.0,420.0,420.0,420.0,420.0,0.0,0.0,0.0
102,2022-01-10,KAPC,Kapchorua Tea Kenya Plc,80.0,101.0,92.0,92.0,92.0,92.0,0.0,0.0,0.0
103,2022-01-10,LIMT,Limuru Tea Plc,260.0,360.0,320.0,320.0,320.0,320.0,0.0,0.0,0.0
104,2022-01-10,SASN,Sasini Plc,16.75,22.6,20.55,20.55,20.55,21.25,-0.7,1600.0,0.0
105,2022-01-10,WTK,Williamson Tea Kenya Plc,125.0,154.75,131.25,132.0,132.0,132.0,0.0,3600.0,0.0
106,2022-01-10,CGEN,Car and General (K) Ltd,10.0,70.0,40.7,40.7,40.7,37.05,3.65,200.0,20.35
107,2022-01-10,ABSA,ABSA Bank Kenya Plc,8.6,12.95,11.75,11.95,11.9,11.8,0.1,969300.0,0.0
108,2022-01-10,BKG,BK Group Plc,24.3,40.0,30.0,30.0,30.0,29.05,0.95,35000.0,0.0
109,2022-01-10,COOP,Co-operative Bank of Kenya Ltd,11.5,14.0,12.5,12.95,12.8,12.95,-0.15,74600.0,0.0
110,2022-01-10,DTK,Diamond Trust Bank Kenya Ltd,54.0,69.0,59.75,60.0,60.0,60.0,0.0,9100.0,0.0
111,2022-01-10,EQTY,Equity Group Holdings Plc,39.0,55.0,51.25,53.0,52.75,53.0,-0.25,528700.0,0.0
112,2022-01-10,HFCK,HF Group Ltd,2.8,5.2,3.55,3.9,3.71,3.81,-0.1,71400.0,0.0
113,2022-01-10,IMH,I & M Holdings Plc,18.0,26.0,21.35,21.45,21.4,21.4,0.0,15800.0,0.0
114,2022-01-10,KCB,KCB Group Plc,37.0,50.75,45.65,46.5,46.4,46.0,0.4,622000.0,0.0
115,2022-01-10,NBK,National Bank of Kenya Ltd,4.12,4.12,4.12,4.12,4.12,4.12,0.0,0.0,0.0
116,2022-01-10,NCBA,NCBA Group Plc,23.0,29.0,25.55,26.1,25.9,25.95,-0.05,6400.0,0.0
117,2022-01-10,SBIC,Stanbic Holdings Plc,78.0,106.0,87.5,87.5,87.5,87.0,0.5,110000.0,0.0
118,2022-01-10,SCBK,Standard Chartered Bank Kenya Ltd,123.0,148.75,130.0,132.25,130.5,130.5,0.0,3400.0,0.0
119,2022-01-10,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,0.0,0.0,0.0
120,2022-01-11,EGAD,Eaagads Ltd,10.0,15.0,13.8,13.8,13.8,13.8,0.0,0.0,0.0
121,2022-01-11,KUKZ,Kakuzi Plc,355.0,427.0,385.0,385.0,385.0,420.0,-35.0,300.0,0.0
122,2022-01-11,KAPC,Kapchorua Tea Kenya Plc,80.0,101.0,96.0,99.0,97.25,92.0,5.25,1600.0,0.0
123,2022-01-11,LIMT,Limuru Tea Plc,260.0,360.0,320.0,320.0,320.0,320.0,0.0,0.0,0.0
124,2022-01-11,SASN,Sasini Plc,16.75,22.6,20.55,20.55,20.55,20.55,0.0,1100.0,0.0
125,2022-01-11,WTK,Williamson Tea Kenya Plc,125.0,154.75,130.5,137.0,134.75,132.0,2.75,300.0,0.0
126,2022-01-11,CGEN,Car and General (K) Ltd,10.0,70.0,44.75,44.75,44.75,40.7,4.05,700.0,22.38
127,2022-01-11,ABSA,ABSA Bank Kenya Plc,8.6,12.95,11.8,11.95,11.9,11.9,0.0,55900.0,0.0
128,2022-01-11,BKG,BK Group Plc,24.3,40.0,30.0,30.95,30.75,30.0,0.75,2400.0,0.0
129,2022-01-11,COOP,Co-operative Bank of Kenya Ltd,11.5,14.0,12.45,13.1,12.8,12.8,0.0,217600.0,0.0
130,2022-01-11,DTK,Diamond Trust Bank Kenya Ltd,54.0,69.0,59.0,59.75,59.5,60.0,-0.5,7600.0,0.0
131,2022-01-11,EQTY,Equity Group Holdings Plc,39.0,55.0,51.5,53.25,52.0,52.75,-0.75,34700.0,0.0
132,2022-01-11,HFCK,HF Group Ltd,2.8,5.2,3.75,3.81,3.81,3.71,0.1,13500.0,0.0
133,2022-01-11,IMH,I & M Holdings Plc,18.0,26.0,21.4,21.5,21.5,21.4,0.1,36500.0,0.0
134,2022-01-11,KCB,KCB Group Plc,37.0,50.75,45.6,46.1,45.85,46.4,-0.55,3549300.0,0.0
135,2022-01-11,NBK,National Bank of Kenya Ltd,4.12,4.12,4.12,4.12,4.12,4.12,0.0,0.0,0.0
